start,end,goog_dolar
07/08/12,07/14/12,20
07/15/12,07/21/12,29
07/22/12,07/28/12,28
07/29/12,08/04/12,27
08/05/12,08/11/12,25
08/12/12,08/18/12,23
08/19/12,08/25/12,21
08/26/12,09/01/12,23
09/02/12,09/08/12,23
09/09/12,09/15/12,21
09/16/12,09/22/12,19
09/23/12,09/29/12,18
09/30/12,10/06/12,20
10/07/12,10/13/12,20
10/14/12,10/20/12,21
10/21/12,10/27/12,20
10/28/12,11/03/12,19
11/04/12,11/10/12,19
11/11/12,11/17/12,20
11/18/12,11/24/12,19
11/25/12,12/01/12,19
12/02/12,12/08/12,21
12/09/12,12/15/12,22
12/16/12,12/22/12,22
12/23/12,12/29/12,22
12/30/12,01/05/13,29
01/06/13,01/12/13,33
01/13/13,01/19/13,33
01/20/13,01/26/13,30
01/27/13,02/02/13,33
02/03/13,02/09/13,35
02/10/13,02/16/13,29
02/17/13,02/23/13,30
02/24/13,03/02/13,31
03/03/13,03/09/13,30
03/10/13,03/16/13,27
03/17/13,03/23/13,45
03/24/13,03/30/13,33
03/31/13,04/06/13,29
04/07/13,04/13/13,33
04/14/13,04/20/13,33
04/21/13,04/27/13,40
04/28/13,05/04/13,40
05/05/13,05/11/13,55
05/12/13,05/18/13,58
05/19/13,05/25/13,53
05/26/13,06/01/13,44
06/02/13,06/08/13,42
06/09/13,06/15/13,43
06/16/13,06/22/13,36
06/23/13,06/29/13,40
06/30/13,07/06/13,40
07/07/13,07/13/13,33
07/14/13,07/20/13,43
07/21/13,07/27/13,38
07/28/13,08/03/13,38
08/04/13,08/10/13,37
08/11/13,08/17/13,37
08/18/13,08/24/13,37
08/25/13,08/31/13,44
09/01/13,09/07/13,40
09/08/13,09/14/13,36
09/15/13,09/21/13,36
09/22/13,09/28/13,33
09/29/13,10/05/13,34
10/06/13,10/12/13,34
10/13/13,10/19/13,32
10/20/13,10/26/13,39
10/27/13,11/02/13,40
11/03/13,11/09/13,37
11/10/13,11/16/13,34
11/17/13,11/23/13,37
11/24/13,11/30/13,34
12/01/13,12/07/13,49
12/08/13,12/14/13,40
12/15/13,12/21/13,38
12/22/13,12/28/13,35
12/29/13,01/04/14,38
01/05/14,01/11/14,51
01/12/14,01/18/14,55
01/19/14,01/25/14,100
01/26/14,02/01/14,90
02/02/14,02/08/14,61
02/09/14,02/15/14,57
02/16/14,02/22/14,47
02/23/14,03/01/14,44
03/02/14,03/08/14,47
03/09/14,03/15/14,49
03/16/14,03/22/14,39
03/23/14,03/29/14,34
03/30/14,04/05/14,33
04/06/14,04/12/14,36
04/13/14,04/19/14,30
04/20/14,04/26/14,32
04/27/14,05/03/14,28
05/04/14,05/10/14,33
05/11/14,05/17/14,31
05/18/14,05/24/14,45
05/25/14,05/31/14,41
06/01/14,06/07/14,39
06/08/14,06/14/14,34
06/15/14,06/21/14,47
06/22/14,06/28/14,45
06/29/14,07/05/14,39
07/06/14,07/12/14,34
07/13/14,07/19/14,36
07/20/14,07/26/14,41
07/27/14,08/02/14,55
08/03/14,08/09/14,48
08/10/14,08/16/14,47
08/17/14,08/23/14,51
08/24/14,08/30/14,55
08/31/14,09/06/14,57
09/07/14,09/13/14,48
09/14/14,09/20/14,52
09/21/14,09/27/14,55
09/28/14,10/04/14,62
10/05/14,10/11/14,59
10/12/14,10/18/14,48
10/19/14,10/25/14,47
10/26/14,11/01/14,45
11/02/14,11/08/14,60
11/09/14,11/15/14,68
11/16/14,11/22/14,56
11/23/14,11/29/14,47
11/30/14,12/06/14,58
12/07/14,12/13/14,51
12/14/14,12/20/14,53
12/21/14,12/27/14,41
12/28/14,01/03/15,51
01/04/15,01/10/15,64
01/11/15,01/17/15,54
01/18/15,01/24/15,49
01/25/15,01/31/15,45
