date,tipo,venta,compra
6/7/2012,Casas de cambio,4.5150,
6/7/2012,Informal,5.9500,
6/8/2012,Casas de cambio,4.5150,
6/8/2012,Informal,5.9500,
6/11/2012,Casas de cambio,4.5150,
6/11/2012,Informal,5.9500,
6/12/2012,Casas de cambio,4.5150,
6/12/2012,Informal,5.9200,
6/13/2012,Casas de cambio,4.5150,
6/13/2012,Informal,5.9200,
6/14/2012,Casas de cambio,4.5150,
6/14/2012,Informal,5.9300,
6/15/2012,Casas de cambio,4.5150,
6/15/2012,Informal,5.9300,
6/18/2012,Casas de cambio,4.5150,
6/18/2012,Informal,5.9200,
6/19/2012,Casas de cambio,4.5150,
6/19/2012,Informal,5.9400,
6/21/2012,Casas de cambio,4.5250,
6/21/2012,Informal,5.9800,
6/22/2012,Casas de cambio,4.5250,
6/22/2012,Informal,5.9800,
6/25/2012,Casas de cambio,4.5300,
6/25/2012,Informal,5.9800,
6/26/2012,Casas de cambio,4.5300,
6/26/2012,Informal,5.9400,
6/27/2012,Casas de cambio,4.5300,
6/27/2012,Informal,5.9500,
6/28/2012,Casas de cambio,4.5400,
6/28/2012,Informal,5.9800,
6/29/2012,Casas de cambio,4.5450,
6/29/2012,Informal,5.9500,
7/2/2012,Casas de cambio,4.5500,
7/2/2012,Informal,5.9600,
7/3/2012,Casas de cambio,4.5500,
7/3/2012,Informal,5.9600,
